episode,steps,reward,distance_mm,success,epsilon
574,7,10.521496,7.995227,1,0.101101
575,6,11.053219,7.230093,1,0.100846
576,5,11.111339,7.995227,1,0.100592
577,5,11.066676,7.995227,1,0.100340
578,7,10.502604,7.995227,1,0.100088
579,7,10.656963,7.995227,1,0.099838
580,5,11.111339,7.995227,1,0.099589
581,6,10.995934,7.230093,1,0.099341
582,7,10.476346,7.995227,1,0.099095
583,5,11.111339,7.995227,1,0.098850
584,5,11.166483,7.995227,1,0.098606
585,6,10.932960,7.230093,1,0.098363
586,5,11.111339,7.995227,1,0.098122
587,5,11.111339,7.995227,1,0.097881
588,5,11.111339,7.995227,1,0.097642
589,5,11.111339,7.995227,1,0.097404
590,7,10.766884,7.995227,1,0.097168
591,8,10.546184,4.879316,1,0.096932
592,6,10.823426,7.230093,1,0.096698
593,5,11.111339,7.995227,1,0.096465
594,5,11.111339,7.995227,1,0.096233
595,5,11.111339,7.995227,1,0.096002
596,5,11.111339,7.995227,1,0.095772
597,7,10.604662,7.995227,1,0.095543
598,8,10.440014,4.879316,1,0.095316
599,9,10.212748,7.995227,1,0.095090
600,5,11.111339,7.995227,1,0.094864
601,5,11.111339,7.995227,1,0.094640
602,5,11.111339,7.995227,1,0.094418
603,5,11.111339,7.995227,1,0.094196
604,5,11.111339,7.995227,1,0.093975
605,7,10.766884,7.995227,1,0.093755
606,7,10.521496,7.995227,1,0.093537
607,6,11.279358,4.879316,1,0.093319
608,5,11.111339,7.995227,1,0.093103
609,5,11.111339,7.995227,1,0.092888
610,9,9.867611,7.995227,1,0.092674
611,7,10.656963,7.995227,1,0.092461
612,5,11.111339,7.995227,1,0.092249
613,5,11.111339,7.995227,1,0.092038
614,5,11.111339,7.995227,1,0.091828
615,5,11.111339,7.995227,1,0.091619
616,5,11.111339,7.995227,1,0.091411
617,5,11.111339,7.995227,1,0.091204
618,5,11.066676,7.995227,1,0.090998
619,5,11.111339,7.995227,1,0.090794
620,5,11.111339,7.995227,1,0.090590
