#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
12.134495,11,2.831525,5.14445089244785,True
12.594196,7,2.83256,4.712605607065313,True
13.926546,10,2.834038,4.281426847605884,True
14.554824,9,2.835357,4.787773097172683,True
11.382327,12,2.837117,6.000540236780958,True
13.094669,8,2.838291,5.4719935706266005,True
12.656797,4,2.838931,7.507845245833144,True
13.032303,10,2.840373,4.424438501494805,True
14.839998,7,2.841409,4.573958356837625,True
14.617806,4,2.842036,2.24551100312166,True
12.344982,13,2.843875,7.217601547927034,True
15.230076,6,2.844776,6.243329018303503,True
10.883507,17,2.847158,7.979173162376592,True
14.62048,5,2.847931,7.990273380828452,True
12.792123,13,2.849793,6.257183039013285,True
14.242449,6,2.850696,6.535083647055784,True
13.491318,11,2.852281,2.627885422455352,True
13.311471,4,2.852914,7.377063581647948,True
13.300541,7,2.853949,7.114899817967603,True
13.444046,9,2.855261,4.1411927400953354,True
13.74697,10,2.856713,7.653939330066689,True
12.580932,2,2.857067,5.100952502442778,True
13.627193,10,2.858501,6.86265599296942,True
13.374367,7,2.859541,4.560942185935756,True
11.079919,19,2.862198,4.956129741575854,True
14.273357,6,2.863099,6.776208556287135,True
14.075702,7,2.864141,6.047224283422114,True
13.138211,11,2.865722,6.20586212228921,True
12.492852,11,2.867304,7.981175183995994,True
14.362787,7,2.868335,4.894044288575507,True
12.928975,8,2.869508,7.641848386900955,True
13.660788,5,2.87027,5.3693308597961815,True
13.441536,4,2.870903,7.633761849286112,True
12.56408,4,2.871526,3.6583347973840783,True
11.93127,9,2.872837,5.981337114533263,True
14.390167,7,2.873879,3.875592606631015,True
14.340556,6,2.874788,4.00952014939651,True
13.589775,12,2.876499,6.054243115577918,True
13.786602,8,2.877675,6.194089800215874,True
13.449638,4,2.878304,6.482503277331791,True
11.358263,19,2.946063,7.958196626099557,True
13.154522,11,2.947712,5.022296910511183,True
12.553908,11,2.949314,6.695363104457073,True
15.080959,8,2.950509,5.529938917452335,True
14.059912,7,2.951555,4.9392033666814745,True
14.063503,4,2.952191,7.797878964098593,True
